Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ROOM1:Zone Mean Air Temperature [C](TimeStep),ROOM1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](TimeStep),ROOM1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](TimeStep) 
 01/05  16:00:00,16.6,21.000000000000004,1398480.1308814816,0.0 
 01/05  17:00:00,16.5,20.999999999999996,1066641.9780631065,0.0 
 01/05  18:00:00,16.7,21.0,951200.3800900294,0.0 
 01/05  19:00:00,15.9,20.999999999999996,1103506.9133576627,0.0 
 01/05  20:00:00,14.1,20.999999999999996,1063066.114647461,0.0 
 01/05  21:00:00,13.4,20.999999999999996,1083763.5019925314,0.0 
 01/05  22:00:00,13.5,20.999999999999996,1155641.1791802216,0.0 
 01/05  23:00:00,12.0,21.0,1424250.476266493,0.0 
 01/05  24:00:00,11.9,21.0,1579727.0369550376,0.0 
 01/06  01:00:00,11.7,20.999999999999993,1724401.3863996507,0.0 
 01/06  02:00:00,11.1,21.0,1914794.6650787932,0.0 
 01/06  03:00:00,11.0,21.0,2111012.532211222,0.0 
 01/06  04:00:00,10.7,21.000000000000007,2309671.7379589234,0.0 
 01/06  05:00:00,10.9,21.000000000000004,2504411.131982654,0.0 
 01/06  06:00:00,11.1,21.0,2697019.939518293,0.0 
 01/06  07:00:00,11.3,20.999999999999996,2877437.619124222,0.0 
 01/06  08:00:00,11.2,20.999999999999996,3045095.278182589,0.0 
 01/06  09:00:00,10.9,20.999999999999996,2833278.1180155957,0.0 
 01/06  10:00:00,10.9,21.0,2897534.1298779654,0.0 
 01/06  11:00:00,13.2,21.0,2839310.5387385483,0.0 
 01/06  12:00:00,13.5,21.000000000000004,2696450.1606772784,0.0 
 01/06  13:00:00,13.8,21.0,2431986.403886976,0.0 
 01/06  14:00:00,15.9,21.0,2112443.521553299,0.0 
 01/06  15:00:00,16.3,21.000000000000004,1771112.8291010668,0.0 
 01/06  16:00:00,14.9,21.0,1492971.8531332172,0.0 
 01/06  17:00:00,15.1,21.0,1261407.654049434,0.0 
 01/06  18:00:00,14.5,21.0,1176831.1163928625,0.0 
 01/06  19:00:00,14.2,21.0,1361815.2128094574,0.0 
 01/06  20:00:00,12.4,21.000000000000004,1353887.6831453939,0.0 
 01/06  21:00:00,10.2,21.0,1425217.7786226606,0.0 
 01/06  22:00:00,10.0,21.0,1560494.6843709378,0.0 
 01/06  23:00:00,8.8,21.0,1892405.9343582634,0.0 
 01/06  24:00:00,8.4,21.000000000000004,2126202.2181252977,0.0 
 01/07  01:00:00,8.4,21.0,2364040.5588093246,0.0 
 01/07  02:00:00,7.6,21.0,2656336.9916671594,0.0 
 01/07  03:00:00,7.5,21.000000000000004,2956301.4250077736,0.0 
 01/07  04:00:00,6.7,20.999999999999996,3268414.0234646313,0.0 
 01/07  05:00:00,6.7,20.999999999999996,3579450.8489635456,0.0 
 01/07  06:00:00,6.8,21.0,3888372.6054581036,0.0 
 01/07  07:00:00,6.6,21.0,4197818.770202108,0.0 
 01/07  08:00:00,6.3,20.999999999999996,4493861.961418826,0.0 
 01/07  09:00:00,6.8,20.999999999999996,4145765.7035011863,0.0 
 01/07  10:00:00,9.3,21.0,4069075.124975779,0.0 
 01/07  11:00:00,14.4,21.000000000000004,3837596.299408298,0.0 
 01/07  12:00:00,15.3,21.0,3501685.433525764,0.0 
 01/07  13:00:00,15.9,21.000000000000004,2989228.8058452555,0.0 
 01/07  14:00:00,18.4,21.0,2370801.7476660297,0.0 
 01/07  15:00:00,18.7,20.999999999999996,1763572.2778898675,0.0 
 01/07  16:00:00,17.1,21.0,1238969.1000685105,0.0 
 01/07  17:00:00,16.6,21.000000000000004,880640.1719988862,0.0 
 01/07  18:00:00,16.0,21.0,718957.145453757,0.0 
 01/07  19:00:00,15.3,21.0,832220.8231388393,0.0 
 01/07  20:00:00,12.9,20.999999999999996,784835.1155599772,0.0 
 01/07  21:00:00,11.4,21.0,829664.9213785033,0.0 
 01/07  22:00:00,11.4,20.999999999999996,950246.25677243,0.0 
 01/07  23:00:00,10.3,20.999999999999996,1273714.1244738805,0.0 
 01/07  24:00:00,10.0,20.999999999999996,1496654.1828803823,0.0 
 01/08  01:00:00,10.0,21.0,1704358.0774027354,0.0 
 01/08  02:00:00,9.5,21.0,1982692.3215897586,0.0 
 01/08  03:00:00,9.0,20.999999999999996,2272153.8106400617,0.0 
 01/08  04:00:00,9.0,20.999999999999996,2562653.05595113,0.0 
 01/08  05:00:00,10.0,21.0,2845965.590528043,0.0 
 01/08  06:00:00,10.0,21.0,3121792.546906406,0.0 
 01/08  07:00:00,10.0,20.999999999999996,3372227.6622352316,0.0 
 01/08  08:00:00,9.5,20.999999999999996,3601761.247741648,0.0 
 01/08  09:00:00,9.9,21.0,3318983.4579300554,0.0 
 01/08  10:00:00,10.5,21.000000000000007,3230128.336773711,0.0 
 01/08  11:00:00,13.6,21.0,2966884.814587649,0.0 
 01/08  12:00:00,16.1,21.000000000000004,2614181.092169142,0.0 
 01/08  13:00:00,16.2,20.999999999999996,2187657.2442374146,0.0 
 01/08  14:00:00,18.3,21.0,1710773.3552714572,0.0 
 01/08  15:00:00,18.2,21.000000000000004,1291324.923830816,0.0 
 01/08  16:00:00,17.0,21.0,979152.1437948757,0.0 
 01/08  17:00:00,16.6,20.999999999999996,758915.5640715486,0.0 
