Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ROOM1:Zone Windows Total Heat Gain Energy [J](TimeStep),ROOM1:Zone Windows Total Heat Loss Energy [J](TimeStep),WALL_NORTH:Surface Inside Face Temperature [C](TimeStep),WALL_NORTH:Surface Outside Face Temperature [C](TimeStep),WALL_NORTH:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),WALL_SOUTH:Surface Inside Face Temperature [C](TimeStep),WALL_SOUTH:Surface Outside Face Temperature [C](TimeStep),WALL_SOUTH:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),WALL_EAST:Surface Inside Face Temperature [C](TimeStep),WALL_EAST:Surface Outside Face Temperature [C](TimeStep),WALL_EAST:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),WALL_WEST:Surface Inside Face Temperature [C](TimeStep),WALL_WEST:Surface Outside Face Temperature [C](TimeStep),WALL_WEST:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),FLOOR:Surface Inside Face Temperature [C](TimeStep),FLOOR:Surface Outside Face Temperature [C](TimeStep),FLOOR:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),ROOF:Surface Inside Face Temperature [C](TimeStep),ROOF:Surface Outside Face Temperature [C](TimeStep),ROOF:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),MYBINDO:Surface Inside Face Temperature [C](TimeStep),MYBINDO:Surface Outside Face Temperature [C](TimeStep),MYBINDO:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),ROOM1:Zone Mean Air Temperature [C](TimeStep),ROOM1:Zone Air System Sensible Heating Energy [J](TimeStep),ROOM1:Zone Air System Sensible Cooling Energy [J](TimeStep) 
 02/07  03:00:00,15.8,0.0,138886.4734944293,21.59005614951984,14.899511860272323,42435.402630088574,22.011233219028462,15.426618973706542,-67180.82769334,21.698589158921003,15.074527742067973,7818.509479392389,21.731037735729817,14.971506184102683,-2541.8056440556097,21.96470762862271,16.639601316464727,-146276.28930237255,21.618470205384828,8.563352524710083,63088.90047670146,18.775725421283028,15.64526169956855,102656.11005358574,21.83994012173508,0.0,0.0 
 02/07  04:00:00,14.2,0.0,157955.03312593428,21.57857358170482,13.818226658236222,39002.72134361239,22.002546511901713,14.26413943399176,-69392.12723927893,21.688588769412583,13.946989819452234,3915.5907396447988,21.717404341841714,13.885119880674734,-5284.101028006919,21.936746657686104,15.452114158950456,-142746.0657707578,21.603936184366944,7.918782731690633,58432.766521979305,18.364113290004525,14.801197197711133,116071.21543280705,21.802079265213038,0.0,0.0 
 02/07  05:00:00,13.2,0.0,182072.2643791179,21.563507165200587,12.7094510012381,34893.017684798964,21.988250252495657,13.163898848713318,-71239.02946963528,21.674228570753503,12.832199296497851,-415.38420449820103,21.699767296189382,12.77012103006869,-8567.952607580248,21.906933330803664,14.613717185406399,-141552.24213371958,21.583336492624156,5.697612617855066,53988.04569448243,17.8454465777707,13.740915081682488,132893.5450361524,21.768053861869962,0.0,0.0 
 02/07  06:00:00,13.6,0.0,175279.3080390103,21.549085149912006,12.800744574956644,33704.27475062784,21.97021702381205,13.247014188294273,-71717.27763620052,21.65977770428161,12.927653786626669,-1589.4148271978293,21.682408289047128,12.852257781707204,-8812.221334902393,21.879521918174735,14.752667398722254,-135919.62068730785,21.5618760145815,5.714294037737982,55961.937195647915,17.957621085512642,13.975070832210747,128372.32253933349,21.751299796553297,0.0,0.0 
 02/07  07:00:00,14.6,0.0,153723.78054511876,21.53583083672303,13.643844943064785,33893.74699193221,21.95004876482488,14.04225367542145,-71294.09086357376,21.64570394388233,13.767895312778345,-1133.7535079541626,21.665744956975868,13.688253958968891,-7528.8920020355845,21.854659158122647,15.386160578036185,-128504.70056167876,21.540526667359632,7.446800389377207,61199.07022433799,18.380431174222622,14.880373935656166,113368.61971897238,21.749868179396742,0.0,0.0 
 02/07  08:00:00,15.1,180135.00469529728,0.0,21.565771569084706,14.730544307513417,40378.11754333837,21.95243924269959,15.007773579365388,-62727.78282392114,21.67444369917862,14.813788371095898,5726.187875498213,21.692279047135102,15.129675413960783,35.61402658603407,21.91363791442592,15.725199622522451,-133810.0691552601,21.5644209011963,10.504409517146044,77160.06710342,19.591000514473933,16.426274071489843,73237.86543033866,21.803681331621263,0.0,0.0 
 02/07  09:00:00,15.9,1134543.304888049,0.0,21.69945091537147,16.39142831077703,67953.00083646718,22.03894372895146,17.600605581799368,-36302.597003160095,21.806743788526102,16.406842557845184,33694.381710713395,21.822721021809944,22.2739245505931,28589.72981130931,22.25708794265386,16.27441684034029,-209186.23617968181,21.695308121380208,16.817370557890673,130988.6921010252,22.33610595110963,19.184851042881803,-15736.971276672739,22.70595355870977,0.0,0.0 
 02/07  10:00:00,18.5,2011311.9396798087,0.0,21.953221253179656,19.29569751487358,93552.83554743296,22.221967413835472,26.48913603702354,-4965.305050398207,22.05348617919204,19.33771528148385,61455.94819251287,22.066991584266308,30.04645245839987,57130.093280382396,22.702694336495902,18.174400971264607,-278548.25236590113,21.957872773349568,25.23801095477884,174079.54865461373,25.064632970673074,22.385351070871423,-102704.86825864232,22.92826480143585,0.0,0.0 
 02/07  11:00:00,22.6,1757099.9187504225,0.0,22.029511018156732,23.897305235575146,87588.37223227353,22.25638813307477,31.46809792213886,-800.135058823546,22.127025423263728,24.00695326119572,56348.246588835646,22.139092390749266,29.206344995451055,52480.31075540524,22.697617479325373,21.43402538825221,-240477.32163596887,22.02719046108708,30.679681529212534,167045.9764518971,25.6483973076962,24.33747902862001,-122185.449333619,23.029092829471317,0.0,0.0 
 02/07  12:00:00,22.7,1353638.929048327,0.0,22.0704036790349,25.197882963225297,70371.94417989906,22.269104895961103,30.532794499722474,-5146.413603119486,22.164678578559286,25.410584699208872,40155.36242324015,22.17566867039379,27.291193621250546,36630.488652399865,22.5907478354659,21.804444518255565,-183686.20937143418,22.060349917842892,31.357352346050753,139351.63437545885,24.97287083629965,23.858445915787343,-97676.80665644421,23.051775263335465,0.0,0.0 
