Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ROOM1:Zone Total Internal Total Heating Energy [J](TimeStep),ROOM1:Space Total Internal Convective Heating Rate [W](Hourly),ROOM1:Zone People Total Heating Energy [J](Hourly),ROOM1:Zone People Total Heating Rate [W](Hourly),ROOM1:Zone Lights Total Heating Energy [J](Hourly),ROOM1:Zone Lights Total Heating Rate [W](Hourly),ROOM1:Zone Windows Total Heat Gain Rate [W](Hourly),ROOM1:Zone Windows Total Heat Loss Rate [W](Hourly),ROOM1:Zone Windows Total Heat Gain Energy [J](Hourly),ROOM1:Zone Windows Total Heat Loss Energy [J](Hourly),WALL_NORTH:Surface Inside Face Temperature [C](Hourly),WALL_NORTH:Surface Outside Face Temperature [C](Hourly),WALL_SOUTH:Surface Inside Face Temperature [C](Hourly),WALL_SOUTH:Surface Outside Face Temperature [C](Hourly),WALL_EAST:Surface Inside Face Temperature [C](Hourly),WALL_EAST:Surface Outside Face Temperature [C](Hourly),WALL_WEST:Surface Inside Face Temperature [C](Hourly),WALL_WEST:Surface Outside Face Temperature [C](Hourly),FLOOR:Surface Inside Face Temperature [C](Hourly),FLOOR:Surface Outside Face Temperature [C](Hourly),ROOF:Surface Inside Face Temperature [C](Hourly),ROOF:Surface Outside Face Temperature [C](Hourly),MYBINDO:Surface Inside Face Temperature [C](Hourly),MYBINDO:Surface Outside Face Temperature [C](Hourly),ROOM1:Zone Mean Air Temperature [C](TimeStep),ROOM1:Zone Exfiltration Heat Transfer Rate [W](TimeStep),ROOM1:Zone Exhaust Air Heat Transfer Rate [W](TimeStep),Environment:Site Total Zone Exfiltration Heat Loss [J](Hourly),Environment:Site Total Zone Exhaust Air Heat Loss [J](Hourly),ROOM1:Zone Air System Sensible Heating Energy [J](TimeStep),ROOM1:Zone Air System Sensible Cooling Energy [J](TimeStep),ROOM1:Zone Air System Sensible Heating Rate [W](Hourly),ROOM1:Zone Air System Sensible Cooling Rate [W](Hourly) 
 11/18  17:00:00,24.5,813600.0,97.61284969440268,777600.0,216.0,36000.0,10.0,413.64008526475374,0.0,1489104.3069531135,0.0,26.02543172287113,22.98405143311491,26.578978763865095,33.21066519712004,26.141630629236094,30.31609229172777,26.24014625348518,25.03593447568448,26.691852803583565,22.666805514052612,26.512134270691202,28.03718534248035,28.310981700863067,25.78896169469931,23.999999999924718,0.0,0.0,0.0,0.0,0.0,2088884.2874128525,0.0,580.245635392459 
 11/18  18:00:00,22.6,813600.0,97.61284969236549,777600.0,216.0,36000.0,10.0,0.0,33.24612219776991,0.0,119686.03991197166,25.13416986490058,21.616612073622107,25.84386232642895,29.866062200443267,25.280655031630904,25.472221941666895,25.35416101485775,23.423509515839896,25.265445233792843,22.06714795314346,25.580157030388925,22.642682288745867,23.281066212784594,20.540863147227356,23.99999999999083,0.0,0.0,0.0,0.0,0.0,1231960.5735494513,0.0,342.21127043040315 
 11/18  19:00:00,20.8,295200.0,39.204283230658085,259200.0,72.0,36000.0,10.0,0.0,37.491450508976854,0.0,134969.22183231666,24.61898336478474,20.69412577854348,25.408916669725716,27.762420595769594,24.80055968728417,23.610807917426893,24.842409289059606,22.35498036722557,24.647454500944786,21.470018175571454,25.043743775817163,20.416742264565574,22.133181139134194,19.076716038059033,23.999999999999357,0.0,0.0,0.0,0.0,0.0,580282.0466430291,0.0,161.1894574008414 
 11/18  20:00:00,18.3,295200.0,39.204283230641266,259200.0,72.0,36000.0,10.0,0.0,44.600247156453946,0.0,160560.8897632342,24.337624379760136,19.59472296368071,25.16919167379611,25.837215276567704,24.54905859693133,21.954304534702647,24.561378518283576,21.127767984338877,24.34733155574937,20.575876028517243,24.748643046605405,18.70641711104522,21.195539687289738,17.567018634202157,23.999999999999964,0.0,0.0,0.0,0.0,0.0,377247.65264090436,0.0,104.79101462247343 
 11/18  21:00:00,17.0,295200.0,39.204283230640065,259200.0,72.0,36000.0,10.0,0.0,48.57635278604953,0.0,174874.8700297783,24.171931650551166,18.816367472296022,25.017054344391948,24.52902496407135,24.40333925223652,20.845609242212937,24.393311708065305,20.26202689257196,24.180602984267352,19.915508746600484,24.565365279338472,17.44708338775953,20.69176205365278,16.74920769061464,24.0,0.0,0.0,0.0,0.0,0.0,275761.4550074884,0.0,76.60040416874676 
 11/18  22:00:00,16.5,295200.0,39.20428323063999,259200.0,72.0,36000.0,10.0,0.0,50.02415817702463,0.0,180086.96943728867,24.056626843180453,18.310820541630623,24.89700437342242,23.64226659884327,24.298921918868793,20.126577524152427,24.274105921171795,19.684930139518787,24.06880021638972,19.492772969299054,24.42606989397488,16.474271751752372,20.462192879607358,16.382473558483923,24.0,0.0,0.0,0.0,0.0,0.0,216264.13239452924,0.0,60.07337010959145 
 11/18  23:00:00,15.3,50400.0,6.867380538439999,43200.0,12.0,7200.0,2.0,0.0,54.35641484155017,0.0,195683.09342958062,23.927057670052516,17.64348526791642,24.757933136974522,22.595206594685035,24.175855965807727,19.26894373959414,24.14203615750481,18.93690219917986,23.944653995156123,18.907164516725153,24.26852401810143,15.524917701491873,20.0604495129719,15.660729501387834,24.0,0.0,0.0,0.0,0.0,0.0,45457.77204859406,0.0,12.627158902387238 
 11/18  24:00:00,15.1,50400.0,6.867380538439999,43200.0,12.0,7200.0,2.0,0.0,54.82232039796795,0.0,197360.3534326846,23.800693607975166,17.25948586222693,24.61642354516778,21.92155620063564,24.050552288880336,18.752914038645937,24.01130465807188,18.488473268520853,23.81816594280541,18.590789633689152,24.11006855036853,14.778109837967975,19.92781546457809,15.464249631130883,23.999999999999996,0.0,0.0,0.0,0.0,0.0,6180.890653009372,0.0,1.7169140702803811 
 11/19  01:00:00,14.9,79200.0,14.867380538439999,43200.0,12.0,36000.0,10.0,0.0,54.57489167290918,0.0,196469.61002247306,23.675691015479792,16.965893657466587,24.465995909572747,21.38169642484258,23.91254557045087,18.35810370076377,23.867691175058255,18.136260184589204,23.690740319336502,18.323230232051568,23.941848886087765,14.259651956090666,19.848094504655194,15.395247422267971,23.987480911006635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 11/19  02:00:00,14.3,79200.0,14.871495072177938,43200.0,12.0,36000.0,10.0,0.0,56.37208954193652,0.0,202939.52235097147,23.542213223831354,16.573832039816367,24.302526157237526,20.75638941162202,23.7604922740469,17.87452331343574,23.71978176007788,17.685179372926168,23.55374846669188,17.964772119234745,23.763553941300316,13.674114122789398,19.611232891915165,15.0281601120397,23.85816741182066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
