Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ROOM1:Zone Windows Total Heat Gain Energy [J](TimeStep),ROOM1:Zone Windows Total Heat Loss Energy [J](TimeStep),WALL_NORTH:Surface Inside Face Temperature [C](TimeStep),WALL_NORTH:Surface Outside Face Temperature [C](TimeStep),WALL_NORTH:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),WALL_SOUTH:Surface Inside Face Temperature [C](TimeStep),WALL_SOUTH:Surface Outside Face Temperature [C](TimeStep),WALL_SOUTH:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),WALL_EAST:Surface Inside Face Temperature [C](TimeStep),WALL_EAST:Surface Outside Face Temperature [C](TimeStep),WALL_EAST:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),WALL_WEST:Surface Inside Face Temperature [C](TimeStep),WALL_WEST:Surface Outside Face Temperature [C](TimeStep),WALL_WEST:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),FLOOR:Surface Inside Face Temperature [C](TimeStep),FLOOR:Surface Outside Face Temperature [C](TimeStep),FLOOR:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),ROOF:Surface Inside Face Temperature [C](TimeStep),ROOF:Surface Outside Face Temperature [C](TimeStep),ROOF:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),MYBINDO:Surface Inside Face Temperature [C](TimeStep),MYBINDO:Surface Outside Face Temperature [C](TimeStep),MYBINDO:Surface Inside Face Net Surface Thermal Radiation Heat Gain Energy [J](TimeStep),ROOM1:Zone Mean Air Temperature [C](TimeStep),ROOM1:Zone Air System Sensible Heating Energy [J](TimeStep),ROOM1:Zone Air System Sensible Cooling Energy [J](TimeStep) 
 05/18  12:00:00,24.6,1286051.872838149,0.0,25.367097407154535,27.79460261659421,208373.03725187524,25.476652940304085,35.03761912336415,135360.76083177625,25.696779397513573,28.030249412978247,99004.91070150681,27.545462683160455,40.3933210939366,-521021.2822518415,25.545235061307046,23.855269499626687,282725.7059839662,26.156836602139506,55.31766902405916,-102391.96745937821,28.746744180058897,26.517252249222224,-102051.16505790438,26.625323604476215,0.0,0.0 
 05/18  13:00:00,25.1,1341019.0335646162,0.0,25.649171563765716,28.584038270925607,279367.97415287554,25.84131238517514,37.25215492940019,171753.85580207332,25.932949181541417,30.28271520403984,184983.00467312484,28.29763657177252,35.167345949181474,-612038.9624636157,25.76549978318594,24.230246579176633,455536.814848668,27.07237332505322,58.12418703239694,-372086.0987943527,29.381204168987324,27.27471713626744,-107516.5882187729,27.070232998714012,0.0,0.0 
 05/18  14:00:00,25.5,1213844.6951396093,0.0,26.015294789289907,29.073303074949617,348594.279967961,26.366429161288032,37.112910502803004,187551.9905864544,26.273356313353656,37.937000136644926,262457.90974638984,28.943075855893035,34.31312438977297,-641820.83407463,26.005666824925793,24.55031345628678,665575.7158833947,28.20325678268922,58.46748076449021,-735693.0189137324,29.40008846016684,27.283086265723682,-86666.04319583748,27.521159164581388,0.0,0.0 
 05/18  15:00:00,26.0,932420.7918547369,0.0,26.434084772858633,29.27964405058724,409022.5426201514,26.994859124499676,35.525604666026055,183542.31861564994,26.73270531472674,44.68335033568198,308908.7286899948,29.44015954980225,33.6155581968662,-612535.3744543756,26.249101000668865,24.895341612864886,890709.9812377433,29.408142711823146,56.15481748180405,-1138275.4004775838,28.802681732782617,26.66424444223344,-41372.79623158029,27.96056301180691,0.0,29970.21751422155 
 05/18  16:00:00,25.9,589184.0732670329,0.0,26.867625157234166,28.819306649370198,461503.3602057104,27.647207991295208,32.747631684192164,171865.98453513734,27.348063425174278,49.87473752571262,299587.15484323003,29.806900167480464,32.45638030966214,-541342.253768527,26.510034644063087,25.035398080610268,1099845.3165755016,30.556216518887233,51.66172047970231,-1517301.5058093881,27.6145785212031,25.31018099704852,25841.94341833613,27.999984198510386,0.0,329191.5923639302 
 05/18  17:00:00,25.7,368599.4726995346,0.0,27.270623445048162,28.648841213781612,515660.36600024276,28.237997644813127,30.4820667263102,167194.77656494404,28.12181021848731,53.12179354929467,227106.6231027623,30.05359601730515,31.25170740965055,-436932.28521792096,26.79920156405784,25.105931605553682,1275509.9977036205,31.54810230232777,46.229124489895355,-1815863.3558809229,27.076588774211814,24.53676652977856,67323.87772727429,27.999998928195556,0.0,623338.5643226623 
 05/18  18:00:00,25.6,218967.7091083186,0.0,27.654717435115995,28.39434882173334,563064.4367325889,28.73834286535392,29.18591493674224,175246.4556073333,29.06927867687066,44.25038105156488,80336.50451937635,30.2321578216956,30.02916581029349,-321647.3294638166,27.104644757682642,25.18314238512375,1416481.4322122298,32.33194546339795,39.39205651050248,-2004816.3281500312,26.968438227780098,24.223032118138576,91334.82854231948,27.99999989467364,0.0,880517.8826091307 
 05/18  19:00:00,29.6,63543.89874752685,0.0,27.976906149209093,28.192683909763833,593347.8253529592,29.072706252659973,29.305279727447854,193960.12293506414,29.941264857728395,36.51505609342849,-81015.71126655505,30.31999315632565,30.051897798919164,-212560.98007734836,27.368172550367188,26.743975668002353,1512457.0963943026,32.82838588829822,32.91928288616677,-2074808.2475003705,27.989341650497863,26.377748314349333,68619.89416194815,27.999999988882294,0.0,1019859.01692484 
 05/18  20:00:00,26.3,0.0,125606.94735101298,28.2406295269065,26.326591697536514,582464.5935764426,29.285947590139752,27.5060374806781,204804.7377636004,30.607749987543592,31.990077426244106,-233934.00308030768,30.334504379747564,28.161469348410577,-138720.87998699048,27.59166431681279,25.946351510728725,1518704.4834032985,33.02405444461054,28.381435528456898,-2057712.276973231,26.750916974514553,23.914504826286247,124393.34529718762,27.999999998649614,0.0,1190923.1270872892 
 05/18  21:00:00,25.5,0.0,142784.17622470928,28.430988263373205,25.653761707450183,555421.0888165709,29.397646495729504,26.75984139332077,205435.17792617323,30.996372197125105,30.15081554749757,-331938.93773559516,30.29784879368252,27.415039600797904,-88041.78658214318,27.790892054502542,25.745673568484087,1462639.5647908628,32.953651964152634,26.19272451622225,-1938103.4260183615,26.591742741505414,23.382977553166654,134588.31880249287,27.999999999832266,0.0,1287335.5933169385 
